Business_ID,Counter_ID,Category,SITE_ID,Branch
00017495,70007,Restaurants,9550,禮客內湖店
00017531,90005,Sports,9550,禮客內湖店
00017555,30254,Sports,9550,禮客內湖店
00017596,40011,Sports,9550,禮客內湖店
00017601,30002,Men's Wear,9550,禮客內湖店
00017621,10113,Hardware,9550,禮客內湖店
00017625,40013,Men's Wear,9550,禮客內湖店
00017633,40018,Sports,9550,禮客內湖店
00017634,10118,Hardware,9550,禮客內湖店
00017635,30418,Leisurewear,9550,禮客內湖店
00017639,30474,Sports,9550,禮客內湖店
00017642,60002,Housewares,9550,禮客內湖店
00017646,10018,Hardware,9550,禮客內湖店
00017647,10024,Hardware,9550,禮客內湖店
00017648,10105,Hardware,9550,禮客內湖店
00017649,20007,Fashion,9550,禮客內湖店
00017651,20034,Fashion,9550,禮客內湖店
00017652,20035,Fashion,9550,禮客內湖店
00017653,20108,Fashion,9550,禮客內湖店
00017654,20157,Fashion,9550,禮客內湖店
00017655,20158,Fashion,9550,禮客內湖店
00017656,20169,Fashion,9550,禮客內湖店
00017657,20170,Fashion,9550,禮客內湖店
00017658,30051,Men's Wear,9550,禮客內湖店
00017659,30082,Sports,9550,禮客內湖店
00017660,30115,Sports,9550,禮客內湖店
00017661,30117,Women's Wear,9550,禮客內湖店
00017662,30159,Sports,9550,禮客內湖店
00017663,30306,Sports,9550,禮客內湖店
00017665,30349,Leisurewear,9550,禮客內湖店
00017666,30354,Sports,9550,禮客內湖店
00017667,30409,Sports,9550,禮客內湖店
00017669,30420,Sports,9550,禮客內湖店
00017670,30433,Sports,9550,禮客內湖店
00017671,30464,Men's Wear,9550,禮客內湖店
00017672,30475,Women's Wear,9550,禮客內湖店
00017673,30476,Women's Wear,9550,禮客內湖店
00017674,50011,Outdoors,9550,禮客內湖店
00017675,50020,Outdoors,9550,禮客內湖店
00017676,50060,Outdoors,9550,禮客內湖店
00017677,50082,Outdoors,9550,禮客內湖店
00017678,20001,Fashion,9550,禮客內湖店
00017680,20039,Fashion,9550,禮客內湖店
00017681,20076,Fashion,9550,禮客內湖店
00017682,20153,Fashion,9550,禮客內湖店
00017683,30378,Sports,9550,禮客內湖店
00017685,20176,Sports,9550,禮客內湖店
00017714,20174,Sports,9550,禮客內湖店
00017715,40016,Men's Wear,9550,禮客內湖店
00017716,40019,Hardware,9550,禮客內湖店
00017718,40015,Hardware,9550,禮客內湖店
00017719,10117,Hardware,9550,禮客內湖店
00017720,10119,Fashion,9550,禮客內湖店
00017721,60009,Housewares,9550,禮客內湖店
00017723,60013,Outdoors,9550,禮客內湖店
00017724,10107,Hardware,9550,禮客內湖店
00017725,10114,Women's Wear,9550,禮客內湖店
00017726,20005,Fashion,9550,禮客內湖店
00017727,20058,Fashion,9550,禮客內湖店
00017728,20172,Sports,9550,禮客內湖店
00017729,30396,Sports,9550,禮客內湖店
00017730,30445,Men's Wear,9550,禮客內湖店
00017731,30473,Men's Wear,9550,禮客內湖店
00017732,50083,Hardware,9550,禮客內湖店
00017733,50084,Women's Wear,9550,禮客內湖店
00017734,50085,Women's Wear,9550,禮客內湖店
00017735,20058,Fashion,9550,禮客內湖店
00017736,40015,Hardware,9550,禮客內湖店
00017737,10107,Hardware,9550,禮客內湖店
00017738,10119,Fashion,9550,禮客內湖店
00017739,20058,Fashion,9550,禮客內湖店
00017740,20174,Sports,9550,禮客內湖店
00017741,30002,Men's Wear,9550,禮客內湖店
00017742,40016,Men's Wear,9550,禮客內湖店
00017743,40019,Hardware,9550,禮客內湖店
00017744,10120,Women's Wear,9550,禮客內湖店
00017745,60011,Hardware,9550,禮客內湖店
00017746,60014,Sports,9550,禮客內湖店
00017747,20058,Fashion,9550,禮客內湖店
00017748,20172,Sports,9550,禮客內湖店
00017749,30002,Men's Wear,9550,禮客內湖店
00017750,30396,Sports,9550,禮客內湖店
00017751,30445,Men's Wear,9550,禮客內湖店
00017752,30473,Men's Wear,9550,禮客內湖店
00017753,20058,Fashion,9550,禮客內湖店
00017754,30002,Men's Wear,9550,禮客內湖店
00017755,40015,Hardware,9550,禮客內湖店
00017756,10119,Fashion,9550,禮客內湖店
00017757,20058,Fashion,9550,禮客內湖店
00017758,20172,Sports,9550,禮客內湖店
00017759,20174,Sports,9550,禮客內湖店
00017760,30002,Men's Wear,9550,禮客內湖店
00017761,30396,Sports,9550,禮客內湖店
00017762,30473,Men's Wear,9550,禮客內湖店
00017763,40016,Men's Wear,9550,禮客內湖店
00017764,40019,Hardware,9550,禮客內湖店
00017765,50083,Hardware,9550,禮客內湖店
00017766,30466,Sports,9550,禮客內湖店
00017767,30451,Sports,9550,禮客內湖店
00017768,60015,Sports,9550,禮客內湖店
00017769,30457,Sports,9550,禮客內湖店
00017770,60016,Sports,9550,禮客內湖店
00017771,40015,Hardware,9550,禮客內湖店
00017772,10018,Hardware,9550,禮客內湖店
00017773,10024,Hardware,9550,禮客內湖店
00017774,10105,Hardware,9550,禮客內湖店
